Date,log_rtn,0,predicted_mean,predicted_mean
2012-01-03,0.0293560193437699,0.02857975468180119,,
2012-01-04,0.0221215332514463,0.020276600413592614,,
2012-01-05,0.0276197073384291,0.026727635800232078,,
2012-01-06,0.0011344300705687,-0.0006047605069881953,,
2012-01-09,0.0135137191667375,0.013356569310714465,,
2012-01-10,0.0160891126627073,0.01440962961657271,,
2012-01-11,0.0179988496762255,0.017219500785548625,,
2012-01-12,0.0080754140055468,0.0066295210439940395,,
2012-01-13,-0.0080754140055468,-0.00869607227328929,,
2012-01-17,-0.0054200674693589,-0.005953371030402411,,
2012-01-18,0.0209741488104493,0.020279835095136256,,
2012-01-19,-0.0048012895648451,-0.006419334666135188,,
2012-01-20,0.0079893900334804,0.007984206833292855,,
2012-01-23,-0.0160431248405788,-0.01760778598931361,,
2012-01-24,-0.0784716154414918,-0.07807336633501084,,
2012-01-25,0.0213449118962968,0.022887742470203514,,
2012-01-26,-0.0551459358010787,-0.058249470444607127,,
2012-01-27,0.0185245811125099,0.021460072552688367,,
2012-01-30,-0.0107143882123715,-0.014623639058022421,,
2012-01-31,0.0071556655953888,0.008887714968341752,,
2012-02-01,0.0112261149425483,0.008551670600310942,,
2012-02-02,0.0168952460428848,0.016959477130568668,,
2012-02-03,0.0407526680270927,0.03879495385816527,,
2012-02-06,0.0022160673888848,0.0006572126547546085,,
2012-02-07,0.0153764698964872,0.015058626597559726,,
2012-02-08,0.0119178008640337,0.01027056323281968,,
2012-02-09,-0.0032362487792538,-0.00387443255709706,,
2012-02-10,-0.007592227358366,-0.008302761564235055,,
2012-02-13,0.0097508898264343,0.009257852030822411,,
2012-02-14,-0.0070327582262699,-0.00834534899448421,,
2012-02-15,0.0048740957582013,0.004755111776299359,,
2012-02-16,0.0345136459573526,0.03314533806924805,,
2012-02-17,0.0358828860742839,0.03417984997620484,,
2012-02-21,-0.0177805039819928,-0.01931685466274707,,
2012-02-22,-0.0370896521443351,-0.036642244244139525,,
2012-02-23,0.0063660692449896,0.006262302955597214,,
2012-02-24,0.0047480964960861,0.0033115817495471445,,
2012-02-27,0.0036774404458902,0.003180381098620187,,
2012-02-28,0.0078349839298021,0.006761957401461115,,
2012-02-29,-0.0115124243756924,-0.012368909688484685,,
2012-03-01,-0.000526454342223,-0.0007705995540216112,,
2012-03-02,-0.0068692476189122,-0.00794458589965825,,
2012-03-05,-0.0165734881518651,-0.016854854302605592,,
2012-03-06,-0.0328796741191431,-0.033304557408784075,,
2012-03-07,0.0209489469173267,0.021254522261112036,,
2012-03-08,0.0194495596158498,0.017175019876508976,,
2012-03-09,0.0159239033567439,0.015404390570387613,,
2012-03-12,-0.0148543845382082,-0.016390370661159986,,
2012-03-13,0.0428936046025632,0.043226627455294396,,
2012-03-14,0.0998152149413923,0.09666658556537039,,
2012-03-15,0.025167194233011,0.02208743993077659,,
2012-03-16,0.0067552609961105,0.006542171709704152,,
2012-03-19,0.0160288382758926,0.014649026098336834,,
2012-03-20,-0.0196259644567716,-0.02060035996671844,,
2012-03-21,-0.005873068609567,-0.005723180738574686,,
2012-03-22,-0.0270969506279904,-0.028222815990552742,,
2012-03-23,0.0115715246276976,0.01211244704490543,,
2012-03-26,0.0109840921281762,0.008920606477189823,,
2012-03-27,-0.0142106448236724,-0.014538704385382172,,
2012-03-28,0.006442728222204,0.005956375437138222,,
2012-03-29,-0.0069045153465774,-0.008092453335963803,,
2012-03-30,-0.0088147172459471,-0.009020668458836053,,
2012-04-02,-0.0013989277170541,-0.0021760623876992164,,
2012-04-03,0.0037261337941355,0.003035293533899977,,
2012-04-04,-0.0201932196064736,-0.021140726293910613,,
2012-04-05,0.0,0.00015433543041909372,,
2012-04-09,-0.0230336478776172,-0.024391540921687778,,
2012-04-10,-0.0156558970725299,-0.015120912277890383,,
2012-04-11,0.0272390381621562,0.026241574426035176,,
2012-04-12,0.0140562171335918,0.012393111002504294,,
2012-04-13,-0.0290432029879143,-0.029754370271153432,,
2012-04-16,0.0128253421640507,0.013169504256512955,,
2012-04-17,0.0178725119518857,0.015889494403687705,,
2012-04-18,0.0,-0.0006496819900923347,,
2012-04-19,-0.011401548688861,-0.01223076552962839,,
2012-04-20,-0.0188093319574762,-0.01907573253077413,,
2012-04-23,0.0128191379344601,0.012471632422851002,,
2012-04-24,-0.0364655599011247,-0.037993534084527436,,
2012-04-25,0.0064596497909842,0.0076304373096283415,,
2012-04-26,0.01132738041179,0.009049140956309846,,
2012-04-27,0.0112005066704884,0.011000265644080232,,
2012-04-30,-0.0126707348206816,-0.014232400391895415,,
2012-05-01,0.0131548791051613,0.013419605058248494,,
2012-05-02,-0.012664562841325,-0.01460820263968833,,
2012-05-03,-0.0178046246334992,-0.017288974880748403,,
2012-05-04,-0.0135646390341723,-0.014465569180348296,,
2012-05-07,0.0160565416443459,0.015921675912556277,,
2012-05-08,0.0,-0.0017940822880680397,,
2012-05-09,-0.0145402411263431,-0.014616965310660347,,
2012-05-10,0.0045351551653502,0.003896395767677794,,
2012-05-11,0.0114972523656747,0.01048394105107994,,
2012-05-14,-0.0318128317120428,-0.03285144421565875,,
2012-05-15,-0.0212608474993697,-0.020593335252253202,,
2012-05-16,-0.0142520227071822,-0.015117984805615764,,
2012-05-17,-0.0204088716312081,-0.02053991613575381,,
2012-05-18,-0.008719401291832,-0.00909351263883233,,
2012-05-21,0.0173634313434679,0.016693151037635457,,
2012-05-22,0.009636048865033,0.008143044186977186,,
2012-05-23,0.0190079640452083,0.018357374564844455,,
2012-05-24,-0.0168780377873554,-0.018448141802317693,,
